iter	Passed	Remaining
401	16092	13730
402	16134	13692
403	16174	13652
404	16211	13609
405	16254	13571
406	16297	13534
407	16337	13494
408	16377	13454
409	16419	13415
410	16458	13374
411	16497	13334
412	16538	13294
413	16579	13255
414	16623	13218
415	16666	13180
416	16708	13142
417	16749	13103
418	16790	13063
419	16833	13025
420	16873	12985
421	16913	12945
422	16954	12906
423	16994	12865
424	17036	12827
425	17075	12786
426	17117	12748
427	17156	12707
428	17198	12668
429	17242	12631
430	17284	12592
431	17325	12553
432	17365	12512
433	17408	12475
434	17451	12436
435	17492	12396
436	17531	12356
437	17572	12316
438	17610	12275
439	17651	12235
440	17692	12196
441	17733	12156
442	17773	12116
443	17813	12076
444	17854	12036
445	17893	11995
446	17937	11958
447	17976	11917
448	18017	11877
449	18059	11838
450	18100	11799
451	18140	11759
452	18180	11719
453	18220	11678
454	18262	11639
455	18302	11599
456	18343	11559
457	18384	11520
458	18423	11479
459	18464	11439
460	18503	11399
461	18544	11359
462	18585	11319
463	18625	11279
464	18665	11239
465	18706	11199
466	18748	11160
467	18789	11121
468	18829	11080
469	18869	11040
470	18908	11000
471	18949	10960
472	18990	10920
473	19030	10880
474	19070	10840
475	19108	10798
476	19150	10759
477	19195	10722
478	19238	10683
479	19279	10644
480	19320	10604
481	19361	10564
482	19402	10524
483	19443	10484
484	19484	10445
485	19524	10404
486	19563	10363
487	19602	10323
488	19644	10284
489	19687	10245
490	19727	10205
491	19767	10164
492	19807	10124
493	19847	10084
494	19890	10045
495	19933	10006
496	19977	9968
497	20018	9928
498	20061	9890
499	20102	9850
500	20142	9809
501	20180	9768
502	20225	9730
503	20267	9691
504	20307	9650
505	20347	9610
506	20387	9570
507	20427	9530
508	20467	9489
509	20508	9449
510	20548	9409
511	20589	9369
512	20630	9330
513	20674	9291
514	20714	9251
515	20756	9211
516	20797	9171
517	20838	9132
518	20878	9091
519	20917	9051
520	20958	9010
521	20997	8970
522	21040	8930
523	21080	8890
524	21120	8850
525	21163	8811
526	21202	8770
527	21242	8730
528	21284	8690
529	21324	8650
530	21365	8610
531	21405	8570
532	21445	8529
533	21483	8488
534	21524	8449
535	21563	8408
536	21605	8368
537	21645	8328
538	21686	8288
539	21725	8247
540	21767	8208
541	21806	8167
542	21847	8127
543	21889	8087
544	21928	8047
545	21969	8007
546	22009	7966
547	22049	7926
548	22088	7885
549	22128	7845
550	22169	7805
551	22211	7765
552	22252	7726
553	22294	7686
554	22334	7646
555	22373	7605
556	22413	7565
557	22453	7524
558	22491	7483
559	22530	7442
560	22569	7402
561	22610	7362
562	22648	7321
563	22689	7281
564	22729	7241
565	22770	7201
566	22810	7160
567	22854	7121
568	22892	7081
569	22932	7040
570	22973	7000
571	23011	6959
572	23053	6920
573	23093	6879
574	23134	6839
575	23173	6799
576	23212	6758
577	23253	6718
578	23292	6678
579	23331	6637
580	23373	6597
581	23413	6557
582	23452	6516
583	23494	6477
584	23534	6436
585	23574	6396
586	23614	6356
587	23652	6315
588	23691	6274
589	23730	6234
590	23777	6195
591	23827	6158
592	23865	6117
593	23905	6076
594	23945	6036
595	23986	5996
596	24027	5956
597	24068	5916
598	24108	5876
599	24148	5835
600	24189	5795
601	24229	5755
602	24270	5715
603	24312	5675
604	24350	5634
605	24388	5594
606	24429	5553
607	24469	5513
608	24508	5473
609	24548	5432
610	24588	5392
611	24629	5352
612	24670	5312
613	24710	5272
614	24750	5231
615	24791	5191
616	24831	5151
617	24872	5111
618	24913	5071
619	24951	5030
620	24991	4990
621	25032	4950
622	25072	4909
623	25111	4869
624	25151	4829
625	25190	4788
626	25231	4748
627	25272	4708
628	25312	4668
629	25351	4627
630	25390	4587
631	25432	4547
632	25472	4507
633	25513	4466
634	25552	4426
635	25592	4386
636	25631	4345
637	25671	4305
638	25713	4265
639	25752	4225
640	25792	4184
641	25832	4144
642	25873	4104
643	25916	4064
644	25954	4024
645	25994	3983
646	26036	3943
647	26079	3903
648	26119	3863
649	26159	3823
650	26198	3782
651	26238	3742
652	26281	3702
653	26322	3662
654	26363	3622
655	26402	3582
656	26442	3541
657	26482	3501
658	26523	3461
659	26564	3421
660	26604	3380
661	26647	3340
662	26687	3300
663	26727	3260
664	26767	3220
665	26808	3179
666	26848	3139
667	26888	3099
668	26930	3059
669	26973	3019
670	27011	2978
671	27050	2938
672	27090	2898
673	27133	2858
674	27173	2817
675	27213	2777
676	27253	2737
677	27299	2697
678	27337	2657
679	27378	2617
680	27419	2576
681	27460	2536
682	27503	2496
683	27541	2456
684	27584	2416
685	27622	2375
686	27662	2335
687	27703	2295
688	27743	2254
689	27783	2214
690	27823	2174
691	27864	2134
692	27905	2093
693	27947	2053
694	27993	2013
695	28035	1973
696	28082	1933
697	28131	1894
698	28172	1853
699	28212	1813
700	28251	1773
701	28293	1733
702	28332	1692
703	28373	1652
704	28412	1612
705	28454	1571
706	28494	1531
707	28534	1491
708	28576	1450
709	28617	1410
710	28658	1370
711	28697	1330
712	28736	1289
713	28776	1249
714	28816	1209
715	28857	1168
716	28900	1128
717	28947	1088
718	28994	1048
719	29033	1008
720	29073	967
721	29112	927
722	29154	887
723	29196	846
724	29238	806
725	29278	766
726	29321	725
727	29362	685
728	29402	645
729	29444	605
730	29484	564
731	29525	524
732	29566	484
733	29608	443
734	29650	403
735	29690	363
736	29732	322
737	29773	282
738	29815	242
739	29857	201
740	29899	161
741	29943	121
742	29986	80
743	30028	40
744	30073	0
