iter	Logloss
205	0.2782876002
206	0.2782465988
207	0.2781821343
208	0.2781399626
209	0.2780894437
210	0.2780448071
211	0.2780135974
212	0.277975185
213	0.2779464045
214	0.2778936935
215	0.2778490253
216	0.2778043951
217	0.2777821584
218	0.2777457865
219	0.2777068964
220	0.2776676799
221	0.2776424188
222	0.2776068206
223	0.2775652351
224	0.2775412952
225	0.2774944905
226	0.2774669884
227	0.2774247902
228	0.277399213
229	0.277351667
230	0.2773223835
231	0.2772829903
232	0.2772507035
233	0.2772047721
234	0.2771452875
235	0.2771058972
236	0.2770655935
237	0.277025389
238	0.2769564953
239	0.2768974791
240	0.276862519
241	0.2768158214
242	0.2767744533
243	0.2767331801
244	0.2766855755
245	0.2766588869
246	0.2766141696
247	0.276580581
248	0.2765376891
249	0.2764979542
250	0.2764618124
251	0.2764152781
252	0.2763364124
253	0.2762771948
254	0.2762193951
255	0.2761732032
256	0.2761325938
257	0.2760866176
258	0.2760334622
259	0.2759913421
260	0.2759394276
261	0.2758846233
262	0.2758380413
263	0.2757962923
264	0.2757498405
265	0.2757074511
266	0.275672899
267	0.275650387
268	0.275616159
269	0.2755856105
270	0.275538715
271	0.2754934618
272	0.2754562238
273	0.2753908705
274	0.2753414086
275	0.2752950224
276	0.2752326559
277	0.275195762
278	0.2751586861
279	0.2751226788
280	0.2750919014
281	0.2750396156
282	0.2749922733
283	0.2749720508
284	0.2749456278
285	0.2748865527
286	0.27483997
287	0.2748007704
288	0.2747672754
289	0.2747221587
290	0.2746899275
291	0.2746353598
292	0.2745963033
293	0.2745436032
294	0.2745066682
295	0.274476093
296	0.2744466006
297	0.2743960218
298	0.2743590397
299	0.2743037812
300	0.2742896269
301	0.27425
302	0.2742009232
303	0.2741642465
304	0.2741489114
305	0.2741153302
306	0.2740761958
307	0.2740082354
308	0.2739770238
309	0.2739225546
310	0.2738732471
311	0.2738554088
312	0.273824549
313	0.2738030118
314	0.2737898172
315	0.2737559759
316	0.2737257171
317	0.273694008
318	0.2736272826
319	0.273565166
320	0.2735298706
321	0.273497337
322	0.2734425545
323	0.2734031451
324	0.2733351841
325	0.2732780747
326	0.2732355831
327	0.2732216176
328	0.2731722061
329	0.2731271111
330	0.2730923202
331	0.2730740398
332	0.2730522153
333	0.2730269865
334	0.2729933356
335	0.2729669598
336	0.2729290586
337	0.2728864105
338	0.2728457749
339	0.2727983992
340	0.2727546651
341	0.2727205821
342	0.2726911943
343	0.2726481575
344	0.2726084126
345	0.2725756903
346	0.272562363
347	0.2725312361
348	0.2725171672
349	0.2724734077
350	0.2724404055
351	0.2723935074
352	0.2723619736
353	0.272321285
354	0.2722672471
355	0.2722274885
356	0.2721979447
357	0.2721540327
358	0.2721077563
359	0.2720778156
360	0.2720491434
361	0.2720190789
362	0.2719800987
363	0.2719485112
364	0.2718977136
365	0.2718402618
366	0.2718060432
367	0.2717764771
368	0.271723443
369	0.2716958712
370	0.2716579373
371	0.2716141524
372	0.2715970182
373	0.2715691091
374	0.2715306416
375	0.2714909449
376	0.2714422921
377	0.2714152272
378	0.271392625
379	0.2713447616
380	0.2713252705
381	0.2712926425
382	0.2712531642
383	0.2712309088
384	0.2711820292
385	0.2711478428
386	0.2711071553
387	0.271064301
388	0.2710361769
389	0.2710161266
390	0.2709760359
391	0.2709292776
392	0.2709155549
393	0.2708911679
394	0.2708609435
395	0.2708382344
396	0.2707934948
397	0.2707594513
398	0.2707295712
399	0.2706928143
400	0.2706684895
401	0.2706469714
402	0.2706029563
403	0.2705825514
404	0.2705680297
405	0.2704923309
406	0.2704278634
407	0.2703885622
408	0.2703643203
409	0.2703318022
410	0.2703087167
411	0.2702814558
412	0.2702500033
413	0.2702010944
414	0.2701557554
415	0.2701164433
416	0.2700999359
417	0.2700631834
418	0.2700340017
419	0.2699647722
420	0.2699382072
421	0.2699043978
422	0.2698701544
423	0.2698331755
424	0.2697803098
425	0.26974731
426	0.2696957787
427	0.2696570289
428	0.2695959228
429	0.2695502386
430	0.2694944066
431	0.2694651837
432	0.2694422789
433	0.2694130873
434	0.2693823202
435	0.2693531484
436	0.2693385854
437	0.269310524
438	0.269287333
439	0.2692409703
440	0.2692081956
441	0.269177637
442	0.2691268927
443	0.2691064206
444	0.2690684724
445	0.2690398277
446	0.269002196
447	0.2689671622
448	0.268930008
449	0.2688829638
450	0.2688531079
451	0.2688143153
452	0.2687870881
453	0.2687461143
454	0.2687082309
455	0.2686728931
456	0.268623193
457	0.2685852243
458	0.2685691011
459	0.2685344528
460	0.268499236
461	0.2684627054
462	0.268429738
463	0.2683999357
464	0.2683768772
465	0.268344712
466	0.2682915252
467	0.2682577711
468	0.2682366399
469	0.2681986987
470	0.2681785155
471	0.2681380177
472	0.2680901166
473	0.2680733672
474	0.2680446709
475	0.2680266353
476	0.2679992532
477	0.2679527162
478	0.2679288799
479	0.2678985518
480	0.2678616697
481	0.2678299246
482	0.2677911293
483	0.2677569924
484	0.2677303655
485	0.2677158666
486	0.2677027839
487	0.2676817737
488	0.2676418736
489	0.2676129279
490	0.2675897876
491	0.2675577843
492	0.2675411987
493	0.2675204707
494	0.2674884441
495	0.2674547473
496	0.2674353251
497	0.2674019474
498	0.2673707959
499	0.2673389906
500	0.2673098007
501	0.2672914416
502	0.2672364812
503	0.2671970336
504	0.2671651066
505	0.2671369107
506	0.2671091161
507	0.267079236
508	0.2670523591
509	0.2670052068
510	0.2669838355
511	0.2669493402
512	0.26693101
513	0.2668944295
514	0.266878652
515	0.2668511632
516	0.2668096992
517	0.2667820568
518	0.2667408895
519	0.2667135843
520	0.2666867799
521	0.2666598247
522	0.2666103368
523	0.2665807032
524	0.2665548102
525	0.2665140085
526	0.2664959937
527	0.2664736078
528	0.2664438558
529	0.2664135218
530	0.2663796805
531	0.2663540877
532	0.2663289815
533	0.2663137794
534	0.2662727235
535	0.2662531763
536	0.2662207476
537	0.2662053855
538	0.2661503258
539	0.2661327411
540	0.2660851811
541	0.2660668732
542	0.2660301321
543	0.2659949278
544	0.2659637551
545	0.2659124663
546	0.2658780736
547	0.2658468321
548	0.2658122969
549	0.2657859576
550	0.2657429546
551	0.2657042951
552	0.2656693589
553	0.2656219729
554	0.2655903385
555	0.2655627361
556	0.2655247443
557	0.2655003237
558	0.2654858423
559	0.2654727054
560	0.2654565928
561	0.2654319866
562	0.2654205414
563	0.2653921168
564	0.2653663539
565	0.2653286547
566	0.2652984747
567	0.2652552723
568	0.2652356307
569	0.2652093105
570	0.2651783755
571	0.2651568293
572	0.2651084718
573	0.2650768461
574	0.2650258333
575	0.2650092941
576	0.2649783848
577	0.2649451074
578	0.2649219304
579	0.2649030561
580	0.2648558339
581	0.2648395371
582	0.2648129078
583	0.2647552481
584	0.264720346
585	0.2646907191
586	0.2646688695
587	0.2646490693
588	0.2646259688
589	0.2646060358
590	0.2645644558
591	0.2645325139
592	0.2645183622
593	0.2644893522
594	0.2644507259
595	0.2644244471
596	0.2643950754
597	0.2643697679
598	0.2643392099
599	0.2643145388
600	0.2642761381
601	0.264255668
602	0.26422707
603	0.2641897412
604	0.2641662305
605	0.2641480255
606	0.264112121
607	0.2640747409
608	0.2640445294
609	0.2640236736
610	0.2639928503
611	0.2639609224
612	0.2639281791
613	0.2639036928
614	0.263879341
615	0.263845597
616	0.2638028496
617	0.2637788878
618	0.2637484234
619	0.2637333097
620	0.2636921715
621	0.2636559233
622	0.2636265334
623	0.2636036635
624	0.2635711699
625	0.2635548635
626	0.2635199227
627	0.2634959467
628	0.2634630935
629	0.2634448444
630	0.2634141482
631	0.263380216
632	0.2633487776
633	0.2633222207
634	0.2632974082
635	0.2632729732
636	0.2632469697
637	0.2632255163
638	0.2631834718
639	0.2631579444
640	0.2631321601
641	0.2630998703
642	0.2630772124
643	0.2630315702
644	0.2630143273
645	0.2629931034
646	0.2629516041
647	0.2629072154
648	0.2628826952
649	0.262858818
650	0.2628438263
651	0.2628110647
652	0.2627816545
653	0.2627456149
654	0.2627003451
655	0.2626789341
656	0.2626430288
657	0.2626008264
658	0.2625645266
659	0.262520888
660	0.2624887945
661	0.2624390314
662	0.26242129
663	0.2623785116
664	0.2623549514
665	0.2623229319
666	0.2623030567
667	0.2622747863
668	0.2622274925
669	0.2621883843
670	0.2621773593
671	0.2621569834
672	0.2621255852
673	0.2620784591
674	0.2620479306
675	0.2620266812
676	0.2619957088
677	0.261955434
678	0.2619378933
679	0.2619116159
680	0.2618849124
681	0.2618294677
682	0.2617887591
683	0.2617745593
684	0.2617392481
685	0.2617193825
686	0.2616979523
687	0.2616813971
688	0.2616642016
689	0.2616401027
690	0.2616141887
691	0.2615740758
692	0.2615434232
693	0.2615303333
694	0.2615036926
695	0.261485165
696	0.2614496298
697	0.2614178132
698	0.2613912929
699	0.2613707785
700	0.2613517403
701	0.2613292204
702	0.2613157945
703	0.2612939698
704	0.2612781563
705	0.2612343637
706	0.2612109609
707	0.2611722587
708	0.2611341137
709	0.2611093488
710	0.261092825
711	0.2610675939
712	0.2610560599
713	0.2610261765
714	0.2610120605
715	0.260984557
716	0.260934883
717	0.2609100997
718	0.2608999768
719	0.2608690773
720	0.2608484964
721	0.2608305543
722	0.2608062892
723	0.2607725991
724	0.2607369565
725	0.2607008227
726	0.2606633708
727	0.2606346681
728	0.2606132898
729	0.2605845536
730	0.2605635461
731	0.2605183211
732	0.2604910036
733	0.2604589752
734	0.2604322969
735	0.2604009953
736	0.2603555366
737	0.2603322542
738	0.2603030559
739	0.2602895074
740	0.2602525088
741	0.2602222793
742	0.2602093798
743	0.2601820673
744	0.2601449369
